Notes: 0
Panel 1,43
1,1161,4.000650
1,2502,8.001300
1,9205,27.998583
1,14066,42.500567
1,16915,51.000083
1,21105,63.500250
1,25295,76.000417
1,27976,83.998733
1,29652,88.998800
1,32334,97.000100
1,36021,107.999650
1,38703,116.000950
1,41384,123.999267
1,44736,133.999400
1,46747,139.998883
1,49764,148.999600
1,52111,156.001483
1,54792,163.999800
1,56133,168.000450
1,60155,179.999417
1,61496,184.000067
1,62837,188.000717
1,66189,198.000850
1,67865,203.000917
1,69038,206.500367
1,70546,210.999233
1,73060,218.499333
1,74736,223.499400
1,77585,231.998917
1,80602,240.999633
1,82278,245.999700
1,83954,250.999767
1,86971,260.000483
1,88312,264.001133
1,91328,272.998867
1,93004,277.998933
1,94680,282.999000
1,97697,291.999717
1,103395,308.998750
1,111105,332.000250
1,115127,343.999217
1,117809,352.000517
1,119820,358.000000
Panel 2,27
2,1328,4.498867
2,2669,8.499517
2,6524,20.000267
2,7865,24.000917
2,23451,70.499150
2,44736,133.999400
2,48423,144.998950
2,51105,153.000250
2,53786,160.998567
2,56300,168.498667
2,58814,175.998767
2,62502,187.001300
2,64178,192.001367
2,70211,209.999817
2,71552,214.000467
2,78926,235.999567
2,83284,249.000933
2,85295,255.000417
2,89652,267.998800
2,94010,281.000167
2,96021,286.999650
2,99038,296.000367
2,109764,327.999600
2,111273,332.501450
2,113786,339.998567
2,115295,344.500417
2,119820,358.000000
Panel 3,25
3,3842,11.998967
3,5183,15.999617
3,6692,20.501467
3,8032,24.499133
3,23619,71.000350
3,40379,121.001017
3,43060,128.999333
3,44736,133.999400
3,49094,147.000767
3,51775,154.999083
3,54457,163.000383
3,56636,169.501067
3,58982,176.499967
3,62502,187.001300
3,70211,209.999817
3,71552,214.000467
3,78926,235.999567
3,89652,267.998800
3,104401,311.999983
3,107083,320.001283
3,109932,328.500800
3,112446,336.000900
3,113954,340.499767
3,116468,347.999867
3,119820,358.000000
Panel 4,45
4,4010,12.500167
4,5351,16.500817
4,9373,28.499783
4,14066,42.500567
4,16915,51.000083
4,21273,64.001450
4,24289,72.999183
4,26971,81.000483
4,30658,92.000033
4,33340,100.001333
4,35016,105.001400
4,36356,108.999067
4,37697,112.999717
4,39038,117.000367
4,41719,124.998683
4,44736,133.999400
4,47083,141.001283
4,49764,148.999600
4,52446,157.000900
4,54792,163.999800
4,56468,168.999867
4,60155,179.999417
4,61496,184.000067
4,64513,193.000783
4,67865,203.000917
4,69038,206.500367
4,70546,210.999233
4,73060,218.499333
4,75407,225.501217
4,77921,233.001317
4,80267,240.000217
4,82278,245.999700
4,85630,255.999833
4,86971,260.000483
4,88647,265.000550
4,90993,271.999450
4,93004,277.998933
4,96356,287.999067
4,97697,291.999717
4,100379,300.001017
4,103060,307.999333
4,112613,336.499117
4,116636,348.501067
4,117976,352.498733
4,119820,358.000000
Panel 5,36
5,1496,5.000067
5,2837,9.000717
5,9541,29.000983
5,11217,34.001050
5,14233,42.998783
5,17083,51.501283
5,19764,59.499600
